"","SiteCode","Date","Sample","Chl-a","month","YearMonth","YearMonthSite"
"1","SH",2024-04-11,79,1.87,"04",Apr 2024,"Apr 2024_SH"
"2","SH",2024-04-11,80,1.52,"04",Apr 2024,"Apr 2024_SH"
"3","SH",2024-04-11,81,1.61,"04",Apr 2024,"Apr 2024_SH"
"4","YB",2024-04-25,82,36.58,"04",Apr 2024,"Apr 2024_YB"
"5","YB",2024-04-25,83,36.36,"04",Apr 2024,"Apr 2024_YB"
"6","YB",2024-04-25,84,41.38,"04",Apr 2024,"Apr 2024_YB"
"7","TK",2024-05-07,1,6,"05",May 2024,"May 2024_TK"
"8","TK",2024-05-07,2,6.89,"05",May 2024,"May 2024_TK"
"9","TK",2024-05-07,3,6.37,"05",May 2024,"May 2024_TK"
"10","SH",2024-05-09,4,1.1,"05",May 2024,"May 2024_SH"
"11","SH",2024-05-09,5,3.82,"05",May 2024,"May 2024_SH"
"12","SH",2024-05-09,6,5.1,"05",May 2024,"May 2024_SH"
"13","CB",2024-05-10,16,15.8,"05",May 2024,"May 2024_CB"
"14","CB",2024-05-10,17,15.82,"05",May 2024,"May 2024_CB"
"15","CB",2024-05-10,18,13.55,"05",May 2024,"May 2024_CB"
"16","RP",2024-05-11,10,5.67,"05",May 2024,"May 2024_RP"
"17","RP",2024-05-11,11,4.73,"05",May 2024,"May 2024_RP"
"18","RP",2024-05-11,12,3.45,"05",May 2024,"May 2024_RP"
"19","BB",2024-05-23,13,1.94,"05",May 2024,"May 2024_BB"
"20","BB",2024-05-23,14,2.32,"05",May 2024,"May 2024_BB"
"21","BB",2024-05-23,15,1.92,"05",May 2024,"May 2024_BB"
"22","FC",2024-05-24,16,3.24,"05",May 2024,"May 2024_FC"
"23","FC",2024-05-24,17,3.43,"05",May 2024,"May 2024_FC"
"24","FC",2024-05-24,18,3.26,"05",May 2024,"May 2024_FC"
"25","YB",2024-05-25,19,20.91,"05",May 2024,"May 2024_YB"
"26","YB",2024-05-25,20,19.35,"05",May 2024,"May 2024_YB"
"27","YB",2024-05-25,21,21.26,"05",May 2024,"May 2024_YB"
"28","SH",2024-05-26,25,5.46,"05",May 2024,"May 2024_SH"
"29","SH",2024-05-26,26,5.9,"05",May 2024,"May 2024_SH"
"30","SH",2024-05-26,27,3.98,"05",May 2024,"May 2024_SH"
"31","CB",2024-05-27,22,9.04,"05",May 2024,"May 2024_CB"
"32","CB",2024-05-27,23,9.51,"05",May 2024,"May 2024_CB"
"33","CB",2024-05-27,24,9.95,"05",May 2024,"May 2024_CB"
"34","RP",2024-05-28,28,50.89,"05",May 2024,"May 2024_RP"
"35","RP",2024-05-28,29,46.83,"05",May 2024,"May 2024_RP"
"36","RP",2024-05-28,30,38.13,"05",May 2024,"May 2024_RP"
"37","FC",2024-06-07,37,1.59,"06",Jun 2024,"Jun 2024_FC"
"38","FC",2024-06-07,38,4.27,"06",Jun 2024,"Jun 2024_FC"
"39","FC",2024-06-07,39,5.19,"06",Jun 2024,"Jun 2024_FC"
"40","BB",2024-06-08,40,3.64,"06",Jun 2024,"Jun 2024_BB"
"41","BB",2024-06-08,41,1.32,"06",Jun 2024,"Jun 2024_BB"
"42","BB",2024-06-08,42,1.57,"06",Jun 2024,"Jun 2024_BB"
"43","SH",2024-06-09,31,9.8,"06",Jun 2024,"Jun 2024_SH"
"44","SH",2024-06-09,32,9.25,"06",Jun 2024,"Jun 2024_SH"
"45","SH",2024-06-09,33,8.64,"06",Jun 2024,"Jun 2024_SH"
"46","YB",2024-06-10,43,7.99,"06",Jun 2024,"Jun 2024_YB"
"47","YB",2024-06-10,44,8.19,"06",Jun 2024,"Jun 2024_YB"
"48","YB",2024-06-10,45,8.26,"06",Jun 2024,"Jun 2024_YB"
"49","FC",2024-06-21,82,7.78,"06",Jun 2024,"Jun 2024_FC"
"50","FC",2024-06-21,83,4.33,"06",Jun 2024,"Jun 2024_FC"
"51","FC",2024-06-21,84,3.21,"06",Jun 2024,"Jun 2024_FC"
"52","BB",2024-06-22,91,2.87,"06",Jun 2024,"Jun 2024_BB"
"53","BB",2024-06-22,92,2.21,"06",Jun 2024,"Jun 2024_BB"
"54","BB",2024-06-22,93,2.02,"06",Jun 2024,"Jun 2024_BB"
"55","YB",2024-06-23,94,13.53,"06",Jun 2024,"Jun 2024_YB"
"56","YB",2024-06-23,96,13.25,"06",Jun 2024,"Jun 2024_YB"
"57","SH",2024-06-24,46,10.09,"06",Jun 2024,"Jun 2024_SH"
"58","SH",2024-06-24,47,9.54,"06",Jun 2024,"Jun 2024_SH"
"59","SH",2024-06-24,48,8.69,"06",Jun 2024,"Jun 2024_SH"
"60","CB",2024-06-25,49,16.32,"06",Jun 2024,"Jun 2024_CB"
"61","CB",2024-06-25,50,23.12,"06",Jun 2024,"Jun 2024_CB"
"62","CB",2024-06-25,51,41.23,"06",Jun 2024,"Jun 2024_CB"
"63","RP",2024-06-26,100,6.18,"06",Jun 2024,"Jun 2024_RP"
"64","RP",2024-06-26,101,6.31,"06",Jun 2024,"Jun 2024_RP"
"65","RP",2024-06-26,102,5.27,"06",Jun 2024,"Jun 2024_RP"
"66","FC",2024-08-02,58,18.84,"08",Aug 2024,"Aug 2024_FC"
"67","FC",2024-08-02,59,23.91,"08",Aug 2024,"Aug 2024_FC"
"68","FC",2024-08-02,60,15.66,"08",Aug 2024,"Aug 2024_FC"
"69","BB",2024-08-03,61,10.48,"08",Aug 2024,"Aug 2024_BB"
"70","BB",2024-08-03,62,11.63,"08",Aug 2024,"Aug 2024_BB"
"71","BB",2024-08-03,63,13.2,"08",Aug 2024,"Aug 2024_BB"
"72","YB",2024-08-04,34,31.86,"08",Aug 2024,"Aug 2024_YB"
"73","YB",2024-08-04,35,32.97,"08",Aug 2024,"Aug 2024_YB"
"74","YB",2024-08-04,36,33.56,"08",Aug 2024,"Aug 2024_YB"
"75","SH",2024-08-05,52,12.45,"08",Aug 2024,"Aug 2024_SH"
"76","SH",2024-08-05,53,12.65,"08",Aug 2024,"Aug 2024_SH"
"77","SH",2024-08-05,54,10.88,"08",Aug 2024,"Aug 2024_SH"
"78","TK",2024-08-06,55,23.28,"08",Aug 2024,"Aug 2024_TK"
"79","TK",2024-08-06,56,20.51,"08",Aug 2024,"Aug 2024_TK"
"80","TK",2024-08-06,57,23.95,"08",Aug 2024,"Aug 2024_TK"
"81","FC",2024-08-19,79,20.94,"08",Aug 2024,"Aug 2024_FC"
"82","FC",2024-08-19,80,15.57,"08",Aug 2024,"Aug 2024_FC"
"83","FC",2024-08-19,81,21.41,"08",Aug 2024,"Aug 2024_FC"
"84","BB",2024-08-20,103,3.22,"08",Aug 2024,"Aug 2024_BB"
"85","BB",2024-08-20,104,2.82,"08",Aug 2024,"Aug 2024_BB"
"86","BB",2024-08-20,105,2.84,"08",Aug 2024,"Aug 2024_BB"
"87","YB",2024-08-21,76,18.47,"08",Aug 2024,"Aug 2024_YB"
"88","YB",2024-08-21,77,18.35,"08",Aug 2024,"Aug 2024_YB"
"89","YB",2024-08-21,78,21.08,"08",Aug 2024,"Aug 2024_YB"
"90","SH",2024-08-22,109,6.45,"08",Aug 2024,"Aug 2024_SH"
"91","SH",2024-08-22,110,5.75,"08",Aug 2024,"Aug 2024_SH"
"92","SH",2024-08-22,111,5.35,"08",Aug 2024,"Aug 2024_SH"
"93","FC",2024-09-16,64,10.53,"09",Sep 2024,"Sep 2024_FC"
"94","FC",2024-09-16,65,9,"09",Sep 2024,"Sep 2024_FC"
"95","FC",2024-09-16,66,11.17,"09",Sep 2024,"Sep 2024_FC"
"96","BB",2024-09-17,88,3.21,"09",Sep 2024,"Sep 2024_BB"
"97","BB",2024-09-17,89,2.8,"09",Sep 2024,"Sep 2024_BB"
"98","BB",2024-09-17,90,3.15,"09",Sep 2024,"Sep 2024_BB"
"99","YB",2024-09-18,67,9.51,"09",Sep 2024,"Sep 2024_YB"
"100","YB",2024-09-18,68,11.8,"09",Sep 2024,"Sep 2024_YB"
"101","YB",2024-09-18,69,11.12,"09",Sep 2024,"Sep 2024_YB"
"102","SH",2024-09-19,85,8.79,"09",Sep 2024,"Sep 2024_SH"
"103","SH",2024-09-19,86,7.14,"09",Sep 2024,"Sep 2024_SH"
"104","SH",2024-09-19,87,8.79,"09",Sep 2024,"Sep 2024_SH"
"105","CB",2024-09-20,106,6.86,"09",Sep 2024,"Sep 2024_CB"
"106","CB",2024-09-20,107,6.45,"09",Sep 2024,"Sep 2024_CB"
"107","CB",2024-09-20,108,4.44,"09",Sep 2024,"Sep 2024_CB"
"108","RP",2024-09-21,73,10.19,"09",Sep 2024,"Sep 2024_RP"
"109","RP",2024-09-21,74,18.63,"09",Sep 2024,"Sep 2024_RP"
"110","RP",2024-09-21,75,10.5,"09",Sep 2024,"Sep 2024_RP"
"111","BB",2024-10-16,112,12.89,"10",Oct 2024,"Oct 2024_BB"
"112","BB",2024-10-16,114,7.12,"10",Oct 2024,"Oct 2024_BB"
"113","RP",2024-10-18,128,6.95,"10",Oct 2024,"Oct 2024_RP"
"114","RP",2024-10-18,127,6.88,"10",Oct 2024,"Oct 2024_RP"
"115","RP",2024-10-18,129,7.9,"10",Oct 2024,"Oct 2024_RP"
"116","CB",2024-10-19,97,3.77,"10",Oct 2024,"Oct 2024_CB"
"117","CB",2024-10-19,98,4.95,"10",Oct 2024,"Oct 2024_CB"
"118","CB",2024-10-19,99,3.44,"10",Oct 2024,"Oct 2024_CB"
"119","SH",2024-10-21,115,22.85,"10",Oct 2024,"Oct 2024_SH"
"120","SH",2024-10-21,117,18.91,"10",Oct 2024,"Oct 2024_SH"
"121","YB",2024-12-02,118,4.69,"12",Dec 2024,"Dec 2024_YB"
"122","YB",2024-12-02,119,6.45,"12",Dec 2024,"Dec 2024_YB"
"123","YB",2024-12-02,120,4.02,"12",Dec 2024,"Dec 2024_YB"
"124","BB",2024-12-03,130,2.83,"12",Dec 2024,"Dec 2024_BB"
"125","BB",2024-12-03,131,2.78,"12",Dec 2024,"Dec 2024_BB"
"126","BB",2024-12-03,132,2.37,"12",Dec 2024,"Dec 2024_BB"
"127","SH",2024-12-04,121,3.39,"12",Dec 2024,"Dec 2024_SH"
"128","SH",2024-12-04,122,4.44,"12",Dec 2024,"Dec 2024_SH"
"129","SH",2024-12-04,123,4.14,"12",Dec 2024,"Dec 2024_SH"
